majopinionwriter_name,casename,opinion_pdf_url,term,majopinionwriter,decree,datedecided,docket,per_curiam
Elena Kagan,Puerto Rico v. Sanchez Valle,http://supremecourt.gov/opinions/15pdf/15-108_k4mp.pdf,2015,114,False,6/09/16,15-108,False
Sonia Sotomayor,Dietz v. Bouldin,http://supremecourt.gov/opinions/15pdf/15-458_b07d.pdf,2015,113,False,6/09/16,15-458,False
Anthony Kennedy,Williams v. Pennsylvania,http://supremecourt.gov/opinions/15pdf/15-5040_6537.pdf,2015,106,False,6/09/16,15-5040,False
Elena Kagan,Ross v. Blake,http://supremecourt.gov/opinions/15pdf/15-339_1b7d.pdf,2015,114,False,6/06/16,15-339,False
Sonia Sotomayor,Simmons v. Himmelreich,http://supremecourt.gov/opinions/15pdf/15-109_p860.pdf,2015,113,False,6/06/16,15-109,False
,Lynch v. Arizona,http://supremecourt.gov/opinions/15pdf/15-8366_e18f.pdf,2015,,False,5/31/16,15-8366,True
,Johnson v. Lee,http://supremecourt.gov/opinions/15pdf/15-789_08m1.pdf,2015,,False,5/31/16,15-789,True
John G. Roberts,Army Corps of Engineers v. Hawkes Co.,http://supremecourt.gov/opinions/15pdf/15-290_6k37.pdf,2015,111,False,5/31/16,15-290,False
Sonia Sotomayor,Green v. Brennan,http://supremecourt.gov/opinions/15pdf/14-613_l5gm.pdf,2015,113,False,5/23/16,14-613,False
Stephen Breyer,Wittman v. Personhuballah,http://supremecourt.gov/opinions/15pdf/14-1504_6khn.pdf,2015,110,False,5/23/16,14-1504,False
John G. Roberts,Foster v. Chatman,http://supremecourt.gov/opinions/15pdf/14-8349_6k47.pdf,2015,111,False,5/23/16,14-8349,False
Elena Kagan,Luna Torres v. Lynch,http://supremecourt.gov/opinions/15pdf/14-1096_5hdk.pdf,2015,114,False,5/19/16,14-1096,False
Ruth Bader Ginsburg,Betterman v. Montana,http://supremecourt.gov/opinions/15pdf/14-1457_21o2.pdf,2015,109,False,5/19/16,14-1457,False
Anthony Kennedy,"CRST Van Expedited, Inc. v. EEOC",http://supremecourt.gov/opinions/15pdf/14-1375_09m1.pdf,2015,106,False,5/19/16,14-1375,False
,Kernan v. Hinojosa,http://supremecourt.gov/opinions/15pdf/15-833_2dq6.pdf,2015,,False,5/16/16,15-833,True
,Zubik v. Burwell,http://supremecourt.gov/opinions/15pdf/14-1418_8758.pdf,2015,,False,5/16/16,14-1418,True
Elena Kagan,"Merrill Lynch, Pierce, Fenner & Smith Inc. v. Manning",http://supremecourt.gov/opinions/15pdf/14-1132_4g15.pdf,2015,114,False,5/16/16,14-1132,False
Sonia Sotomayor,"Husky Int’l Electronics, Inc. v. Ritz",http://supremecourt.gov/opinions/15pdf/15-145_nkp1.pdf,2015,113,False,5/16/16,15-145,False
Samuel Alito,"Spokeo, Inc. v. Robins",http://supremecourt.gov/opinions/15pdf/13-1339-new_4428.pdf,2015,112,False,5/16/16,13-1339,False
Ruth Bader Ginsburg,Sheriff v. Gillie,http://supremecourt.gov/opinions/15pdf/15-338_lkgn.pdf,2015,109,False,5/16/16,15-338,False
